[    4334ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/next-devtools/shared/forward-logs-shared.js:27
[   53041ms] [WARNING] The resource http://localhost:3000/_next/static/media/687cefe982475b52-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   53041ms] [WARNING] The resource http://localhost:3000/_next/static/media/5e4e072b2e9777fc-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   53041ms] [WARNING] The resource http://localhost:3000/_next/static/media/65aef6ddbb47c22f-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   53041ms] [WARNING] The resource http://localhost:3000/_next/static/media/0438b9629284a2a4-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   53041ms] [WARNING] The resource http://localhost:3000/_next/static/media/1aca720030934734-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   53049ms] [ERROR] Failed to load resource: the server responded with a status of 400 (Bad Request) @ http://localhost:3007/api/pos/kitchen/orders:0
[   54055ms] [ERROR] Failed to load resource: the server responded with a status of 400 (Bad Request) @ http://localhost:3007/api/pos/kitchen/orders:0
[   57063ms] [ERROR] Failed to load resource: the server responded with a status of 400 (Bad Request) @ http://localhost:3007/api/pos/kitchen/orders:0
[   58072ms] [ERROR] Failed to load resource: the server responded with a status of 400 (Bad Request) @ http://localhost:3007/api/pos/kitchen/orders:0
[   61073ms] [WARNING] The resource http://localhost:3000/_next/static/media/687cefe982475b52-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   61073ms] [WARNING] The resource http://localhost:3000/_next/static/media/5e4e072b2e9777fc-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   61073ms] [WARNING] The resource http://localhost:3000/_next/static/media/65aef6ddbb47c22f-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   61073ms] [WARNING] The resource http://localhost:3000/_next/static/media/0438b9629284a2a4-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   61073ms] [WARNING] The resource http://localhost:3000/_next/static/media/1aca720030934734-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   61078ms] [ERROR] Failed to load resource: the server responded with a status of 400 (Bad Request) @ http://localhost:3007/api/pos/kitchen/orders:0
[   62090ms] [ERROR] Failed to load resource: the server responded with a status of 400 (Bad Request) @ http://localhost:3007/api/pos/kitchen/orders:0
[   65091ms] [WARNING] The resource http://localhost:3000/_next/static/media/687cefe982475b52-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   65091ms] [WARNING] The resource http://localhost:3000/_next/static/media/5e4e072b2e9777fc-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   65091ms] [WARNING] The resource http://localhost:3000/_next/static/media/65aef6ddbb47c22f-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   65091ms] [WARNING] The resource http://localhost:3000/_next/static/media/0438b9629284a2a4-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   65091ms] [WARNING] The resource http://localhost:3000/_next/static/media/1aca720030934734-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   65101ms] [ERROR] Failed to load resource: the server responded with a status of 400 (Bad Request) @ http://localhost:3007/api/pos/kitchen/orders:0
[   66107ms] [ERROR] Failed to load resource: the server responded with a status of 400 (Bad Request) @ http://localhost:3007/api/pos/kitchen/orders:0
[   69108ms] [WARNING] The resource http://localhost:3000/_next/static/media/687cefe982475b52-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   69108ms] [WARNING] The resource http://localhost:3000/_next/static/media/5e4e072b2e9777fc-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   69108ms] [WARNING] The resource http://localhost:3000/_next/static/media/65aef6ddbb47c22f-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   69108ms] [WARNING] The resource http://localhost:3000/_next/static/media/0438b9629284a2a4-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   69108ms] [WARNING] The resource http://localhost:3000/_next/static/media/1aca720030934734-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   69113ms] [ERROR] Failed to load resource: the server responded with a status of 400 (Bad Request) @ http://localhost:3007/api/pos/kitchen/orders:0
[   70119ms] [ERROR] Failed to load resource: the server responded with a status of 400 (Bad Request) @ http://localhost:3007/api/pos/kitchen/orders:0
[   73120ms] [WARNING] The resource http://localhost:3000/_next/static/media/687cefe982475b52-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   73120ms] [WARNING] The resource http://localhost:3000/_next/static/media/5e4e072b2e9777fc-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   73120ms] [WARNING] The resource http://localhost:3000/_next/static/media/65aef6ddbb47c22f-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   73120ms] [WARNING] The resource http://localhost:3000/_next/static/media/0438b9629284a2a4-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   73120ms] [WARNING] The resource http://localhost:3000/_next/static/media/1aca720030934734-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   73125ms] [ERROR] Failed to load resource: the server responded with a status of 400 (Bad Request) @ http://localhost:3007/api/pos/kitchen/orders:0
[   74131ms] [ERROR] Failed to load resource: the server responded with a status of 400 (Bad Request) @ http://localhost:3007/api/pos/kitchen/orders:0
[   77132ms] [WARNING] The resource http://localhost:3000/_next/static/media/687cefe982475b52-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   77132ms] [WARNING] The resource http://localhost:3000/_next/static/media/5e4e072b2e9777fc-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   77132ms] [WARNING] The resource http://localhost:3000/_next/static/media/65aef6ddbb47c22f-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   77132ms] [WARNING] The resource http://localhost:3000/_next/static/media/0438b9629284a2a4-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   77132ms] [WARNING] The resource http://localhost:3000/_next/static/media/1aca720030934734-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   77137ms] [ERROR] Failed to load resource: the server responded with a status of 400 (Bad Request) @ http://localhost:3007/api/pos/kitchen/orders:0
[   78150ms] [ERROR] Failed to load resource: the server responded with a status of 400 (Bad Request) @ http://localhost:3007/api/pos/kitchen/orders:0
[   81152ms] [WARNING] The resource http://localhost:3000/_next/static/media/687cefe982475b52-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   81152ms] [WARNING] The resource http://localhost:3000/_next/static/media/5e4e072b2e9777fc-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   81152ms] [WARNING] The resource http://localhost:3000/_next/static/media/65aef6ddbb47c22f-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   81152ms] [WARNING] The resource http://localhost:3000/_next/static/media/0438b9629284a2a4-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   81152ms] [WARNING] The resource http://localhost:3000/_next/static/media/1aca720030934734-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   81156ms] [ERROR] Failed to load resource: the server responded with a status of 400 (Bad Request) @ http://localhost:3007/api/pos/kitchen/orders:0
[   82161ms] [ERROR] Failed to load resource: the server responded with a status of 400 (Bad Request) @ http://localhost:3007/api/pos/kitchen/orders:0
[   85162ms] [WARNING] The resource http://localhost:3000/_next/static/media/687cefe982475b52-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   85162ms] [WARNING] The resource http://localhost:3000/_next/static/media/5e4e072b2e9777fc-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   85163ms] [WARNING] The resource http://localhost:3000/_next/static/media/65aef6ddbb47c22f-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   85163ms] [WARNING] The resource http://localhost:3000/_next/static/media/0438b9629284a2a4-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   85163ms] [WARNING] The resource http://localhost:3000/_next/static/media/1aca720030934734-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   85171ms] [ERROR] Failed to load resource: the server responded with a status of 400 (Bad Request) @ http://localhost:3007/api/pos/kitchen/orders:0
[   86175ms] [ERROR] Failed to load resource: the server responded with a status of 400 (Bad Request) @ http://localhost:3007/api/pos/kitchen/orders:0
[   89175ms] [WARNING] The resource http://localhost:3000/_next/static/media/687cefe982475b52-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   89176ms] [WARNING] The resource http://localhost:3000/_next/static/media/5e4e072b2e9777fc-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   89176ms] [WARNING] The resource http://localhost:3000/_next/static/media/65aef6ddbb47c22f-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   89176ms] [WARNING] The resource http://localhost:3000/_next/static/media/0438b9629284a2a4-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   89176ms] [WARNING] The resource http://localhost:3000/_next/static/media/1aca720030934734-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   89180ms] [ERROR] Failed to load resource: the server responded with a status of 400 (Bad Request) @ http://localhost:3007/api/pos/kitchen/orders:0
[   90185ms] [ERROR] Failed to load resource: the server responded with a status of 400 (Bad Request) @ http://localhost:3007/api/pos/kitchen/orders:0
[   93186ms] [WARNING] The resource http://localhost:3000/_next/static/media/687cefe982475b52-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   93186ms] [WARNING] The resource http://localhost:3000/_next/static/media/5e4e072b2e9777fc-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   93186ms] [WARNING] The resource http://localhost:3000/_next/static/media/65aef6ddbb47c22f-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   93186ms] [WARNING] The resource http://localhost:3000/_next/static/media/0438b9629284a2a4-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   93186ms] [WARNING] The resource http://localhost:3000/_next/static/media/1aca720030934734-s.p.woff2?v=1782135075678 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/pos/register:0
[   93189ms] [ERROR] Failed to load resource: the server responded with a status of 400 (Bad Request) @ http://localhost:3007/api/pos/kitchen/orders:0
